song_id,song,mood,mood_id,sentiment,artist_1,artist_2,note,mode,harmonic,percussion,tempo,zcr,spec_bw,spec_cent,rolloff,rmse,chroma,mel,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,loudness,onset_env
0,tum_hi_ho,Emotional,1,,arijit_singh,0,5,0.9,6.74E-08,-7.68E-05,101.9950611,0.064262209,2147.490425,1680.817399,3661.633028,0.290861934,0.258960307,21.34790039,0.003017561,-77.90087128,121.4490433,9.547245026,28.24044609,5.249371529,9.335710526,-11.71115589,4.614925385,-6.788757801,-0.733799219,-2.507652283,-0.128921747,-4.906409264,-1.083336234,-2.905485392,3.124073267,-14.9609251,5.695227146,-9.206967354,-0.996564448,-1.893510699,1.252689123
1,sunn_raha_hai,Emotional,1,,ankit_tiwari,0,0,0.9,7.84E-07,-4.84E-05,150.5250457,0.073915653,2273.787534,1926.881663,4278.431821,0.267418504,0.274338067,17.77455521,0.014857092,-62.64822769,102.4630508,1.542585373,28.14665985,-0.802047253,9.99498558,-8.981772423,4.209069729,0.455978215,1.197009563,1.879820347,0.039997246,-2.50740695,2.463308096,-7.154234409,-2.705456495,-7.971689701,-0.143098116,-7.438866615,-1.909259558,-2.320600271,1.230927587
2,chahun_main_ya_naa,Emotional,1,,palak_muchhal,0,9,0.9,-9.58E-08,-2.11E-05,110.8902069,0.086853204,2478.422808,2136.264685,4625.316902,0.237622812,0.27848202,13.79298592,0.024512456,-63.8763237,96.86684418,6.010095119,29.37250328,8.928102493,0.707610428,3.145632029,4.500664711,-2.313837767,2.98250103,-8.256790161,-0.251440167,-5.071287632,2.037336826,-3.223482609,-1.837995172,-7.298285961,-0.116576828,-6.924812317,-0.177319616,-3.115200996,1.293272853
3,hum_mar_jayenge,Emotional,1,,tulsi_kumar,0,9,0.1,-8.07E-07,-7.34E-05,113.2248805,0.075512732,2596.984383,2153.272772,4942.33411,0.262383997,0.237875998,17.51521301,-0.016389632,-77.44007874,97.46063995,16.48834229,14.21944714,5.767854214,5.07084465,-2.145457506,3.156539679,-6.483552456,-3.965433359,-6.217322826,-0.201512113,-2.576682329,3.828237534,-1.566680193,0.925917983,-4.036507607,2.397920847,-5.502061367,-4.176831722,-2.893093586,1.608633876
4,meri_aashiqui,Emotional,1,,palak_muchhal,0,5,0.9,-4.95E-07,-4.32E-05,106.5107794,0.059419941,2150.023376,1612.559385,3418.830194,0.263142496,0.275080472,17.80311012,0.003855047,-97.78913116,121.0220871,13.85056114,26.55872154,6.381272793,8.926909447,-14.20597553,2.398313284,-5.692111015,-1.037223458,-5.073770046,-4.535307407,-6.265691757,1.190105081,-7.270757198,-3.891416788,-11.23022842,3.097144127,-5.622159481,0.129678398,-3.298485518,1.262248755
5,piya_aaye_na,Emotional,1,,k.k.,0,11,0.1,2.65E-08,-7.16E-05,144.4892686,0.081239012,2466.986463,2043.630891,4613.954641,0.248198077,0.309204429,16.0338459,0.01148846,-58.85057449,100.6483612,8.832437515,20.53967476,3.987482786,8.948600769,-1.06317544,1.375728726,-6.987183571,2.665077925,-3.578390121,4.811124802,-5.450131416,-0.808960676,-5.825275898,1.365555167,-8.502023697,4.331001759,-2.792393446,1.977088571,-2.171154737,1.21583426
6,bhula_dena,Emotional,1,,mustafa_zahid,0,11,0.1,4.65E-07,-3.47E-06,124.0811249,0.076892581,2244.581805,1875.642761,3969.338498,0.251342207,0.27745229,16.55573082,0.016206601,-79.06905365,109.46241,-0.612870455,22.89047432,3.87764287,1.083067894,0.173450202,5.902282238,-5.847446442,2.22730875,-3.272855759,0.689063847,-5.717798233,-2.759815693,-7.375042439,-2.604740381,-7.922783375,3.730779409,-6.594614506,-2.358179569,-4.245678902,1.155756593
7,aasan_nahin_yahan,Emotional,1,,arijit_singh,0,10,0.9,3.37E-08,-1.92E-05,98.74630158,0.060941505,2207.85063,1638.497971,3482.450151,0.236250862,0.263038546,14.60066223,-0.024434708,-110.0048141,123.1175156,20.76930618,14.99717808,4.863231659,5.160701752,-2.483290434,10.63138103,-3.247944593,4.869401455,-1.984183073,0.88138777,-1.064332366,2.577322721,-0.995312214,-3.258030176,-9.741942406,1.001723409,-8.452643394,-0.904766858,-4.102323532,1.248137355
8,sunn_raha_hai,Emotional,1,,shreya_ghoshal,0,9,0.9,-5.08E-07,1.64E-06,136.7308126,0.074567739,2449.11314,1985.879027,4282.830545,0.300359696,0.209540963,22.20602036,0.003779011,-79.81749725,98.08708954,6.566933155,9.130119324,3.706683397,-1.364947796,1.65707624,1.776205182,-6.88547802,-9.51625824,-16.06752396,-5.341609478,-7.734838486,3.590872526,0.477535307,7.890861034,-4.604424477,-4.974551201,-10.82003975,-1.550281405,-2.596713305,1.313029408
9,milne_hai_mujhse_aayi,Emotional,1,,arijit_singh,0,6,0.9,-9.77E-08,-3.42E-05,138.6248884,0.097803251,2604.03259,2409.152984,5408.281134,0.261452526,0.321845949,16.02708244,-0.007792993,-36.98962021,85.7081604,8.164627075,35.12210083,9.195791245,6.650420666,-4.164306641,13.16820049,0.585032344,5.105677128,0.719388068,6.968338013,-3.270826578,1.726094365,-2.254448175,-0.906891346,-9.84808445,6.141945362,-5.507867813,0.118360355,-1.528336406,1.278300285
10,aashiqui,Emotional,1,,various_artists,0,0,0.9,-7.28E-08,-1.42E-05,137.4845699,0.054638098,794.3809789,773.4401973,1237.34451,0.084008656,0.194530025,2.180426359,0.012821021,-298.2871094,182.4756012,-4.501621246,4.301672459,5.04290247,-12.20444393,-6.277451992,-4.532734871,-4.089083672,-5.048181057,-8.6397295,-3.79276824,-1.614233494,-3.612713575,-5.982643127,-5.969079494,-5.094949245,-6.104629993,-4.49252367,-3.168609619,-8.666431427,0.770428061
11,chikni_chameli,Party,1,,shreya_ghoshal,0,1,0.9,-1.46E-07,5.95E-05,89.2326962,0.13795109,2787.613754,2893.138724,6304.227608,0.221897766,0.361256659,11.04129791,0.000421943,-3.783227205,73.42181396,-6.901094437,9.515200615,2.415370226,4.549654007,-2.670167446,6.822860718,-2.030048609,4.215714455,-4.611160755,3.369034529,-0.70088613,6.045636654,-1.681134462,5.279427052,0.002955025,4.470840454,-0.303789496,3.896811962,-2.390500546,1.54730773
12,o_saiyyan,Party,1,,roop_kumar_rathod,0,1,0.1,1.63E-07,-7.71E-06,136.5888691,0.075435171,2202.043881,1869.900111,3985.403143,0.152122691,0.276818365,6.547883511,-0.029161061,-118.478775,111.9860306,-2.561121941,19.22477531,1.062606454,5.956897259,-10.5105114,-2.623992205,-9.204146385,-2.499502897,-4.274497509,0.578408957,-1.309870243,-0.156491414,-6.850410938,-0.658766508,-8.537740707,-6.281475544,-6.808760643,-3.983793736,-8.007987022,1.170412898
13,gun_gun_guna,Party,1,,udit_narayan,sunidhi_chauhan,7,0.1,-1.45E-08,0.000136401,113.9903143,0.11630262,2421.214582,2409.258017,4943.291433,0.208984762,0.330435753,10.19344139,0.02558805,-48.24411011,83.65060425,-16.81350899,18.3576355,-2.851927996,5.47287941,-2.626811266,3.701143026,-7.341291428,5.315924168,-9.080666542,-1.402647972,-5.671781063,-0.992720187,-2.324259758,2.7971766,-0.431660116,2.184365988,-2.065727949,1.789380074,-2.99000144,1.638988495
14,shah_ka_rutba,Party,1,,sukhwinder_singh,anand_raaj_anand,11,0.9,-7.54E-09,1.61E-06,131.9085733,0.111028495,2615.684784,2541.544725,5645.262725,0.197120145,0.339015216,9.839288712,0.005963792,-48.97748566,82.28257751,-4.667238235,11.95935345,-3.22744298,7.44584322,-8.47650528,4.575349808,-9.505619049,7.123404026,-3.130767822,4.963719845,0.58795923,3.687743664,-4.24725008,1.667869329,-8.155851364,-0.453205347,-3.610079527,-3.304195166,-6.867270947,1.616784692
15,abhi_mujh_mein_kahin,Emotional,1,,sonu_nigam,0,6,0.9,-4.21E-08,3.55E-07,128.293383,0.079978089,2089.944932,1768.264532,3479.4967,0.133401349,0.267845809,5.075095177,-0.029534488,-149.6184082,114.8421173,-4.185306549,7.964627266,1.084727049,-0.270454258,-12.2633152,0.821033299,-9.857435226,-0.997668922,-4.320166588,0.560297728,-4.761057854,-0.305452853,-7.081729889,-1.71157074,-6.931165695,-3.824985981,-5.89561367,-3.201883316,-9.301268578,1.185120344
16,deva_shree_ganesha,Party,1,,ajay_gogavale,0,0,0.1,-5.81E-09,-3.88E-05,132.9130646,0.108552642,2434.537784,2323.801857,4891.829155,0.242881104,0.359364122,14.05510426,0.01281203,-10.78874016,93.92384338,-13.57516003,15.85404301,-3.418440104,8.376439095,-1.908969283,0.504687071,-1.527930021,6.71585989,-2.887136698,4.125730038,-0.624417186,3.528004169,-2.090534925,4.790005684,-4.550332546,3.100021124,-2.174747467,1.301432729,-2.144335032,1.318314791
17,prem_ki_naiyya_(remix),Party,1,,neeraj_shridhar,suzzane_d'mello,1,0.1,-2.88E-07,0.000109512,128.3814459,0.104113841,2071.701534,2083.92817,4571.350135,0.264892966,0.394247115,18.12150002,-0.011001547,-61.46263504,119.1751022,-34.42420197,60.55402756,-26.76752281,33.87397385,-24.47539902,24.92194176,-14.07134151,8.86989212,4.40562439,-6.943265915,8.710683823,-11.86923504,7.654533386,-10.77792454,6.756809235,-6.273900986,4.571810246,-3.162715673,-3.833310127,1.849221826
18,main_tera_dhadkan_teri,Party,1,,k.k.,sunidhi_chauhan,2,0.9,-1.63E-07,-0.000228293,110.3589845,0.107020864,1929.125917,2054.248571,4256.663597,0.287544101,0.433734149,20.35090446,-0.022599704,-33.40063095,118.0097122,-49.3678627,64.39391327,-23.14632988,31.72766495,-12.62553501,17.7383709,-6.794058323,8.418316841,2.674700975,-2.311423779,6.755734444,-9.517077446,9.182387352,-8.576653481,3.22430706,-5.569492817,1.093549132,-3.145381451,-3.678932905,1.575037241
19,tu_jaane_na,Emotional,1,,atif_aslam,0,2,0.1,6.58E-08,3.03E-05,118.2238139,0.079404788,1822.877223,1699.883813,3600.243044,0.279765785,0.279204041,18.97802734,0.002474029,-68.47142029,139.9090424,-37.26279068,52.9183197,-18.27711868,23.33516502,-12.91190434,15.80031109,-13.73445797,15.87420654,-4.646803856,2.664177656,3.356767178,-14.02160263,11.96887875,-15.0938921,8.97303009,-7.166109085,-2.966683865,-4.58431673,-2.698381186,1.609263182
20,oh_by_god,Party,1,,mika,sunidhi_chauhan,7,0.1,-1.87E-08,8.82E-05,114.9957711,0.101799754,1844.440983,1915.061597,3930.601504,0.305652469,0.4117001,21.86053085,0.020216989,-37.22556686,123.9944382,-46.56697464,58.63671112,-17.83013344,29.81618118,-6.995259285,15.54250431,-9.26304245,12.25076962,-2.201153278,-3.908625841,8.779528618,-8.289077759,5.906436443,-7.959308624,3.329973221,-5.085163116,3.869730234,0.880837619,-2.016388178,1.866956234
21,tera_hone_laga_hoon,Emotional,1,,atif_aslam,alisha_chinoy,7,0.9,-4.16E-08,-6.69E-05,118.3087585,0.075118308,1864.191401,1648.215333,3615.844932,0.270399392,0.318025738,17.98701477,0.002059487,-69.94113159,143.1273346,-26.62728691,44.77624893,-28.13691902,29.78350067,-16.79916573,14.27135277,-17.05973816,9.300995827,-3.217576742,-3.821512222,1.62867403,-11.49827099,11.96379471,-15.62833691,9.171107292,-5.896991253,-2.188711405,-4.664685726,-2.482473373,1.371247768
22,prem_ki_naiyya,Party,1,,neeraj_shridhar,suzzane_d'mello,1,0.1,1.16E-06,-0.000240411,122.4332524,0.087664078,1910.040429,1848.995022,3979.735086,0.26037842,0.429884851,16.97054291,-0.005517782,-67.08361816,125.612648,-37.19411469,56.59067535,-21.8846035,27.28241158,-16.57127953,20.22270775,-11.84657097,6.927470207,3.332867861,-5.022129536,7.318680286,-7.688212395,8.223574638,-8.649130821,5.774680614,-3.620650768,4.766484261,0.023688307,-3.585289478,1.754241824
